"x","y","target0","target1","target2","target3","target4"
1.27387058701755,1.05313825688893,0,1,0,0,0
3.53053060651438,-3.15733369187141,0,0,1,0,0
-7.31942724045678,-9.3067222163469,0,0,0,0,1
-2.93723888147382,-3.78642749360387,1,0,0,0,0
0.0286455275214338,0.442780265394408,0,1,0,0,0
-15.2717991618473,-1.07622615877596,0,0,0,0,1
-7.78561840626689,-7.74387788650564,0,0,0,0,1
0.536496895800003,-0.609450777202333,0,1,0,0,0
-3.3203889770835,-3.78961518474318,1,0,0,0,0
-10.8833583735176,-5.39886805759116,0,0,0,0,1
3.09294069846513,-1.15347695837499,0,0,1,0,0
2.54968983487301,2.11259159581553,0,0,1,0,0
-2.93097453759222,-4.56406421362122,1,0,0,0,0
0.197694935857254,-0.800899295694306,0,1,0,0,0
0.325396508312099,1.92604241227672,0,0,1,0,0
-3.14459716877992,-4.37444585422978,1,0,0,0,0
0.945607010429437,1.52534187251291,0,1,0,0,0
-3.2255072861342,-4.28806104837636,1,0,0,0,0
0.714217437824887,2.55566052996056,0,1,0,0,0
0.38634132847411,5.56234283773977,0,0,1,0,0
-3.24398648956751,-3.67885533371551,1,0,0,0,0
13.2726936418204,-3.58947298224609,0,0,0,1,0
4.60791970107598,4.3009049424734,0,0,1,0,0
3.53117607364847,-0.0361856961776983,0,0,1,0,0
-8.13652233054461,0.117610610988761,0,0,0,0,1
4.44080521364877,-0.786185872993674,0,0,1,0,0
2.59661849586611,5.50545761856857,0,0,1,0,0
3.37551927017145,2.43220146308094,0,0,1,0,0
-3.8106346092776,-7.49799362805244,0,0,0,0,1
1.81109996484091,-3.94800911904002,0,0,0,1,0
3.079435262585,-3.83901042176578,0,0,0,1,0
3.1969998040826,3.41478002012081,0,0,1,0,0
-2.87671534545232,-3.84397061003257,1,0,0,0,0
0.606034763703244,-1.26042637795376,0,1,0,0,0
4.34386220270663,2.5546579136168,0,0,1,0,0
1.46795128360392,-0.444808729011613,0,1,0,0,0
-11.5656643323232,-3.49178650720441,0,0,0,0,1
1.80223640510058,5.64454244900846,0,0,1,0,0
-10.4821961111951,-11.3148642484648,0,0,0,0,1
0.435988156976185,-3.54512981887347,0,0,0,1,0
5.21710560188109,7.09820482551489,0,0,1,0,0
2.01100030144806,3.62793239574373,0,0,1,0,0
-2.80189850555364,-3.73863151458793,1,0,0,0,0
12.8216556994454,-4.29476008965543,0,0,0,1,0
-2.82874638140285,-3.74268041382745,1,0,0,0,0
-2.51422097816516,-3.08939746991531,0,0,0,1,0
-3.09660256155002,-4.02218304327825,1,0,0,0,0
-6.75073586665226,-8.52126420510659,0,0,0,0,1
-3.4810956991391,-3.4459412869003,1,0,0,0,0
5.73928615207599,3.19680826754844,0,0,1,0,0
-0.988220550751544,-3.8438668159553,0,0,0,1,0
1.48735834568557,-1.41273745978824,0,1,0,0,0
2.88258849912726,3.41309255513104,0,0,0,0,1
5.63336597186323,8.56312622718948,0,0,1,0,0
-0.413974688247264,-0.396560460421216,0,1,0,0,0
4.92892574425135,4.42961263192468,0,0,1,0,0
10.8568833300723,-3.3354424444428,0,0,0,1,0
-17.4142203285945,-2.40789371945909,0,0,0,0,1
-0.766594920838798,0.25233151207447,0,1,0,0,0
0.631840514938157,-5.34572509835894,0,0,0,1,0
-5.89151377735398,-4.22027618299429,0,0,0,0,1
2.91547148769618,2.175050776811,0,0,1,0,0
-1.1862187379493,-5.51181637673256,0,0,0,1,0
3.00709695172351,8.6046811537625,0,0,1,0,0
-11.3637154755366,-12.2826336560913,0,0,0,0,1
-6.42985951986609,-9.75256764699064,0,0,0,0,1
-2.72480024293498,-8.42496362201897,0,0,0,0,1
-2.80076608323986,-3.83414706839711,1,0,0,0,0
-0.97746806374955,-6.30436035677063,0,0,0,0,1
-0.210518193175415,0.552432887331326,0,1,0,0,0
-2.5779062101492,-3.95966958406127,1,0,0,0,0
-6.75435557453083,-0.932379780567278,0,0,0,0,1
1.7528826507028,3.0173247462307,0,0,1,0,0
-10.6751326342257,-5.50458488953418,0,0,0,0,1
-6.89498698984307,-3.33674648686457,0,0,0,0,1
-6.09854750626206,-10.0415373209462,0,0,0,0,1
0.220171493897523,-0.250538478377525,0,1,0,0,0
2.74723296063378,1.47585505567429,0,0,1,0,0
-2.94070760732303,-4.52857629532109,1,0,0,0,0
0.465962212437762,-2.04226131162126,0,1,0,0,0
-10.4530664530754,-8.88625270193245,0,0,0,0,1
-3.13114013170969,-4.94706664485862,1,0,0,0,0
-2.92754200751212,-3.74225787018438,1,0,0,0,0
-2.92878597546564,-9.59711342275193,0,0,0,0,1
0.339343445749215,0.946284132795187,0,1,0,0,0
-2.6001405665716,-4.45832211590408,0,0,0,0,1
-1.21691303078357,-4.19243600302751,0,0,0,1,0
-3.02115235511942,-4.6281492580225,1,0,0,0,0
4.18416272926459,2.67780016532566,0,0,1,0,0
-14.8137550970431,-8.48565803631957,0,0,0,0,1
-0.863333695137437,-1.02384418077805,0,1,0,0,0
0.799631977004079,2.50000729111945,0,0,0,0,1
